,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
439,Kirchzarten,90,DE,87,47.97,7.95,31.37,4.7
440,Ranghulu,32,CN,66,46.65,124.87,8.38,4.52
441,Togur,88,RU,84,58.36,82.83,21.34,9.89
442,Taldan,8,RU,52,53.67,124.8,-10.61,6.6
443,Bobrovka,56,RU,80,54.05,61.75,24.36,13.8
444,Chulman,56,RU,66,56.85,124.91,-16.64,5.26
445,Sosenskiy,92,RU,94,54.06,35.96,36.28,10.11
446,Tamsweg,75,AT,85,47.13,13.81,19.4,5.82
447,Samagaltay,0,RU,81,50.6,95.0,14.01,2.73
448,Saint-Malo,75,FR,93,48.65,-2.02,44.62,8.05
449,Ljungby,0,SE,92,56.83,13.94,26.6,5.82
450,Khatanga,0,RU,28,71.97,102.5,-19.3,9.78
451,Ust-Kuyga,48,RU,72,70.02,135.6,-16.46,2.28
452,Straumen,75,NO,96,63.87,11.3,33.8,16.11
453,Umba,88,RU,92,66.69,34.34,29.89,6.64
454,Orotukan,76,RU,73,62.27,151.7,-4.09,6.08
455,Kovdor,44,RU,85,67.57,30.48,23.14,4.03
456,Lukovetskiy,90,RU,86,64.3,41.92,32.0,6.71
457,Berdigestyakh,44,RU,43,62.1,126.7,-27.89,3.4
458,Suoyarvi,92,RU,88,62.08,32.35,32.19,8.05
459,Severnyy,75,RU,100,50.68,36.55,39.2,8.95
460,Lakhdenpokhya,80,RU,98,61.52,30.2,31.87,6.87
461,Yar-Sale,36,RU,88,66.83,70.83,20.04,12.8
462,Kostomuksha,76,RU,89,64.57,30.58,29.44,5.08
463,Arkhangelsk,90,RU,85,64.54,40.54,32.0,6.71
464,Hof,90,DE,92,50.32,11.92,28.4,11.41
465,Skjervoy,90,NO,100,70.03,20.97,29.12,13.87
466,Mayya,64,RU,65,61.73,130.28,-38.21,2.24
467,Pinega,92,RU,78,64.7,43.39,31.42,9.44
468,Chernyshevskiy,64,RU,63,63.01,112.47,-14.17,3.29
469,Igrim,0,RU,88,63.19,64.42,19.99,6.64
470,Pokrovsk,64,RU,35,61.48,129.13,-23.89,4.14
471,Kuopio,90,FI,92,62.88,27.67,32.0,8.05
472,Dudinka,64,RU,80,69.41,86.18,4.02,7.09
473,Dzhebariki-Khaya,0,RU,0,62.22,135.8,-46.3,2.51
474,Poykovskiy,90,RU,92,61.23,73.33,26.6,13.42
475,Novoagansk,92,RU,81,61.94,76.66,25.21,9.28
476,Borogontsy,56,RU,0,62.67,131.17,-44.32,3.58
477,Batsfjord,90,NO,92,70.63,29.72,30.92,18.34
478,Kangaatsiaq,80,GL,100,68.31,-53.46,25.48,14.65
479,Jamsa,90,FI,100,61.86,25.19,31.19,6.93
480,Pionerskiy,90,RU,100,54.95,20.23,33.8,11.18
481,Petrozavodsk,90,RU,87,61.78,34.35,32.0,13.42
482,Storslett,20,NO,74,69.77,21.02,28.4,6.93
483,Koslan,88,RU,74,63.46,48.9,26.07,7.43
484,Urdoma,68,RU,78,61.75,48.54,25.93,8.77
485,Lulea,0,SE,85,65.58,22.15,23.0,13.87
486,Zyryanka,88,RU,66,65.75,150.85,5.59,14.58
487,Aasiaat,76,GL,100,68.71,-52.87,26.79,15.32
488,Ous,12,RU,83,60.91,61.52,17.47,5.82
489,Lyaskelya,92,RU,99,61.77,31.02,32.95,4.59
490,Snasa,75,NO,92,64.25,12.38,33.8,5.82
491,Setermoen,75,NO,92,68.86,18.35,15.8,2.24
492,Urengoy,92,RU,90,65.97,78.37,25.66,15.48
493,Noyabrsk,80,RU,92,63.2,75.45,24.04,14.47
494,Vuktyl,92,RU,82,63.86,57.31,26.61,7.43
495,Rovaniemi,0,FI,92,66.5,25.72,19.4,11.41
496,Saskylakh,12,RU,42,71.92,114.08,-26.9,6.04
497,Purpe,88,RU,91,64.48,76.69,27.24,14.36
498,Aykino,76,RU,89,62.22,49.99,24.67,12.08
499,Udimskiy,48,RU,84,61.14,45.91,22.11,12.08
500,Ylivieska,0,FI,86,64.08,24.67,22.42,5.03
501,Blagoyevo,80,RU,74,63.37,47.92,26.02,7.65
502,Narsaq,0,GL,86,60.92,-46.05,28.4,2.84
503,Batagay,32,RU,0,67.63,134.63,-40.31,3.13
504,Brae,75,GB,93,60.4,-1.35,44.83,3.36
505,Vazhiny,88,RU,88,60.96,34.02,29.94,12.3
506,Muyezerskiy,80,RU,92,63.93,31.65,28.54,4.81
507,Harstad,75,NO,69,68.8,16.53,32.61,17.22
508,Pitkyaranta,92,RU,99,61.57,31.48,32.95,4.59
509,Tuktoyaktuk,75,CA,77,69.45,-133.04,3.2,14.99
510,Kemi,0,FI,92,65.74,24.56,21.2,3.36
